"","name","id","wmc","dit","noc","cbo","rfc","lcom","npm","loc","bug"
"133","org.gjt.sp.jedit.syntax.ParserRuleFactory",133,11,1,0,3,16,55,9,456,0
"124","bsh.BSHForStatement",124,2,2,0,12,10,1,1,137,0
"120","bsh.BSHAssignment",120,3,2,0,11,18,3,1,273,0
"143","bsh.BSHLiteral",143,5,2,0,7,20,4,2,153,0
"119","bsh.BSHImportDeclaration",119,2,2,0,10,9,1,1,36,0
"121","org.gjt.sp.jedit.gui.BeanShellErrorDialog",121,3,7,0,5,33,3,3,162,1
"134","bsh.TokenMgrError",134,6,3,0,2,19,15,4,184,0
"123","bsh.SimpleNode",123,19,1,35,50,30,147,19,240,0
"102","bsh.ParseException",102,6,3,0,3,19,3,5,387,0
"79","bsh.BSHArrayInitializer",79,4,2,0,10,23,6,2,175,0
"74","gnu.regexp.CharIndexedStringBuffer",74,4,1,0,2,7,0,3,59,0
"82","org.gjt.sp.jedit.BeanShellAction",82,7,2,0,5,16,3,7,115,1
"146","org.gjt.sp.jedit.TextUtilities",146,9,1,0,8,39,36,9,904,5
"71","bsh.ParserTreeConstants",71,1,1,0,2,1,0,0,186,0
"125","bsh.BSHVariableDeclarator",125,2,2,0,10,9,1,1,40,0
"110","org.gjt.sp.jedit.gui.AbbrevEditor",110,5,5,0,4,26,0,5,339,0
"105","org.gjt.sp.jedit.msg.EditorExitRequested",105,2,3,0,5,4,1,2,10,0
"149","org.gjt.sp.util.Log",149,13,1,0,64,55,36,7,433,0
"78","org.gjt.sp.jedit.options.StyleOptionPane",78,8,6,0,6,31,20,1,123,1
"92","bsh.commands.dir",92,6,1,0,2,40,13,5,374,0
"152","org.gjt.sp.jedit.browser.BrowserPopupMenu",152,5,5,0,14,45,6,1,458,0
"99","gnu.regexp.REFilterReader",99,5,3,0,4,18,8,5,173,0
