"","name","id","wmc","dit","noc","cbo","rfc","lcom","npm","loc","bug","fit"
"217","gnu.regexp.REFilterInputStream",217,5,3,0,4,18,8,5,173,0,0.611647989631494
"221","bsh.ParserConstants",221,1,1,0,12,1,0,0,617,0,1.36005655323891
"222","org.gjt.sp.jedit.msg.MacrosChanged",222,1,3,0,4,2,0,1,5,0,0.00800673061199512
"227","bsh.BSHFormalParameter",227,3,2,0,9,7,1,1,30,0,0.0392970898084464
"228","com.microstar.xml.XmlParser",228,118,1,0,6,180,6075,27,5223,0,-8.7258324984274
"229","org.gjt.sp.jedit.io.VFSManager",229,23,1,0,39,64,159,16,300,2,0.368275339577059
"236","org.gjt.sp.util.WorkRequest",236,6,1,3,4,12,15,6,49,0,0.222230880027649
"239","com.microstar.xml.HandlerBase",239,14,1,6,8,16,91,14,38,0,-0.167238465980892
"241","org.gjt.sp.jedit.gui.TipOfTheDay",241,6,7,0,6,18,13,3,55,2,0.173722856864353
"244","bsh.BSHReturnStatement",244,2,2,0,9,7,1,1,28,0,0.0675865940811488
"256","org.gjt.sp.jedit.gui.LogViewer",256,3,5,0,5,14,3,3,55,0,0.269774202627802
"260","org.gjt.sp.jedit.jEdit",260,99,1,0,162,325,4043,67,4367,23,-1.90965635504373
"263","org.gjt.sp.jedit.io.FileRootsVFS",263,6,2,0,4,20,13,5,126,0,0.500086126973903
"267","org.gjt.sp.jedit.gui.InputHandler",267,16,2,1,13,47,48,14,443,6,1.33522220111653
"269","org.gjt.sp.jedit.pluginmgr.Roster",269,5,1,0,9,14,0,0,82,0,0.237668781811254
"270","bsh.CommandLineReader",270,4,3,0,1,8,4,4,82,0,0.275041887626317
