"","name","id","wmc","dit","noc","cbo","rfc","lcom","npm","loc","bug"
"126","org.apache.tools.ant.PathTokenizer",126,3,1,0,3,18,0,3,204,0
"6","org.apache.tools.ant.taskdefs.optional.depend.constantpool.ConstantCPInfo",6,3,2,5,7,4,1,2,16,0
"527","org.apache.tools.ant.util.LazyHashtable",527,9,3,0,0,16,34,8,60,0
"630","org.apache.tools.ant.taskdefs.optional.native2ascii.Native2AsciiAdapterFactory",630,4,1,0,8,14,6,3,79,0
"NA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","org.apache.tools.ant.taskdefs.condition.IsSigned",221,5,3,0,7,26,6,5,193,1
"642","org.apache.tools.ant.types.selectors.AndSelector",642,3,5,0,7,14,3,3,52,0
"699","org.apache.tools.ant.filters.EscapeUnicode",699,5,5,0,3,19,4,4,107,0
"620","org.apache.tools.ant.input.InputRequest",620,7,1,1,6,9,15,7,42,0
"NA4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325","org.apache.tools.ant.taskdefs.Transform",325,1,5,0,1,2,0,1,4,0
"306","org.apache.tools.ant.IntrospectionHelper",306,35,1,0,32,120,417,24,2098,4
"288","org.apache.tools.ant.util.TaskLogger",288,6,1,0,1,8,0,6,43,0
"286","org.apache.tools.ant.taskdefs.Exec",286,10,3,0,5,45,21,7,359,0
"224","org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckout",224,26,4,0,7,50,271,20,392,0
"NA6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"716","org.apache.tools.ant.types.DirSet",716,7,4,0,9,22,21,6,103,0
"NA7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","org.apache.tools.ant.taskdefs.optional.ejb.IPlanetDeploymentTool",215,13,2,0,8,49,54,7,450,1
"428","org.apache.tools.ant.types.resources.StringResource",428,17,4,0,8,41,104,14,185,0
"523","org.apache.tools.ant.util.RetryHandler",523,2,1,0,2,9,0,2,74,0
"615","org.apache.tools.ant.input.PropertyFileInputHandler",615,3,1,0,4,19,0,2,101,0
"NA10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","org.apache.tools.ant.dispatch.Dispatchable",311,1,1,0,2,1,0,1,1,0
"587","org.apache.tools.ant.types.selectors.modifiedselector.EqualComparator",587,3,1,0,1,5,3,3,24,0
"NA11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314","org.apache.tools.ant.taskdefs.condition.Os",314,13,1,0,27,23,68,12,400,1
"599","org.apache.tools.ant.taskdefs.optional.ANTLR",599,25,3,0,18,91,218,18,671,0
"279","org.apache.tools.ant.taskdefs.condition.Http",279,4,2,0,4,15,0,4,105,0
"330","org.apache.tools.ant.types.PatternSet",330,22,3,0,14,62,133,17,625,0
"68","org.apache.tools.ant.taskdefs.optional.windows.Attrib",68,17,5,0,6,35,130,12,207,1
"NA12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"696","org.apache.tools.ant.taskdefs.optional.ssh.LogListener",696,1,1,0,4,1,0,1,1,0
"7","org.apache.tools.zip.AsiExtraField",7,20,1,0,4,40,130,18,345,1
"51","org.apache.tools.ant.taskdefs.optional.dotnet.Ildasm",51,22,3,0,5,47,159,19,365,0
"50","org.apache.tools.ant.taskdefs.optional.jsp.JspMangler",50,2,1,0,6,2,1,2,2,0
"333","org.apache.tools.ant.taskdefs.Expand",333,16,3,1,18,80,86,11,631,4
"419","org.apache.tools.ant.filters.util.ChainReaderHelper",419,9,1,0,17,39,10,8,353,1
"549","org.apache.tools.ant.Executor",549,2,1,0,4,2,1,2,2,0
"NA13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439","org.apache.tools.ant.launch.LaunchException",439,1,3,0,1,2,0,1,5,0
"425","org.apache.tools.ant.util.regexp.RegexpFactory",425,4,2,0,7,18,6,3,119,0
"NA14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"654","org.apache.tools.ant.util.IdentityMapper",654,4,1,0,8,5,6,4,16,0
"668","org.apache.tools.ant.taskdefs.optional.depend.constantpool.ClassCPInfo",668,5,2,0,7,14,0,5,51,0
"NA15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391","org.apache.tools.tar.TarOutputStream",391,15,3,0,3,39,41,14,469,1
"406","org.apache.tools.ant.taskdefs.rmic.RmicAdapter",406,4,1,0,6,4,6,4,4,0
"721","org.apache.tools.ant.taskdefs.optional.ejb.WeblogicDeploymentTool",721,32,2,1,16,140,400,23,1196,1
"313","org.apache.tools.bzip2.CBZip2OutputStream",313,41,2,0,6,60,402,8,4541,6
"399","org.apache.tools.ant.util.RegexpPatternMapper",399,7,1,0,4,24,0,6,186,1
"235","org.apache.tools.ant.taskdefs.cvslib.CvsUser",235,6,1,0,2,11,3,6,51,0
"364","org.apache.tools.ant.taskdefs.Copy",364,45,3,2,25,157,744,27,1828,5
"13","org.apache.tools.ant.input.InputHandler",13,1,1,0,10,1,0,1,1,0
"714","org.apache.tools.ant.taskdefs.cvslib.RedirectingOutputStream",714,2,3,0,3,4,0,1,14,0
"719","org.apache.tools.ant.taskdefs.optional.javah.JavahAdapterFactory",719,4,1,0,8,14,6,3,79,0
"705","org.apache.tools.ant.taskdefs.email.PlainMailer",705,3,2,1,8,43,3,1,250,1
"124","org.apache.tools.ant.util.LineTokenizer",124,4,2,0,8,10,0,4,125,0
"61","org.apache.tools.ant.taskdefs.Nice",61,4,3,0,3,16,2,4,76,0
"423","org.apache.tools.ant.taskdefs.optional.perforce.P4Handler",423,2,1,0,20,2,1,2,2,0
"704","org.apache.tools.ant.util.PropertyOutputStream",704,3,3,0,3,8,1,3,49,0
"499","org.apache.tools.ant.taskdefs.compilers.Kjc",499,3,2,0,10,23,3,2,145,0
"NA16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","org.apache.tools.ant.taskdefs.optional.ssh.SSHExec",71,9,4,0,11,54,10,7,345,4
"240","org.apache.tools.ant.types.selectors.SelectSelector",240,13,5,0,9,34,68,12,199,0
